Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1
1,CMT-9648-85T,CUI Devices,BUZZER MAGNETIC 5V 9MM TH,"3,318",In Stock,,1,1,Box,102-CMT-9648-85T-ND,0.70000,$0.70,1
2,CL10B104KB8NNWC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0603,"6,657,112",In Stock,,2,2,Cut Tape (CT),1276-1935-1-ND,0.10000,$0.20,1
3,GCM188R71E124KA37D,Murata Electronics,CAP CER 0.12UF 25V X7R 0603,"2,575",In Stock,,1,1,Cut Tape (CT),490-GCM188R71E124KA37DCT-ND,0.12000,$0.12,1
4,CL10A105KA8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 25V X5R 0603,"2,485,264",In Stock,,1,1,Cut Tape (CT),1276-1102-1-ND,0.10000,$0.10,1
5,CL10A106MQ8NNNC,Samsung Electro-Mechanics,CAP CER 10UF 6.3V X5R 0603,"1,552,558",In Stock,,1,1,Cut Tape (CT),1276-1119-1-ND,0.11000,$0.11,1
6,CL10A226MP8NUNE,Samsung Electro-Mechanics,CAP CER 22UF 10V X5R 0603,"1,770,047",In Stock,,1,1,Cut Tape (CT),1276-1274-1-ND,0.18000,$0.18,1
7,B38G3RGB-20D0010H2U1930,Harvatek Corporation,LED RGB DIFFUSED 0606 SMD,"1,861",In Stock,,1,1,Cut Tape (CT),3147-B38G3RGB-20D0010H2U1930CT-ND,0.21000,$0.21,1
8,TS02-66-70-BK-160-LCR-D,CUI Devices,"6 X 6 MM, 7 MM ACTUATOR HEIGHT,","18,948",In Stock,,1,1,Bag,2223-TS02-66-70-BK-160-LCR-D-ND,0.10000,$0.10,1
9,HPH2-A-04-UA,Adam Tech,CONN HEADER VERT 4POS 1.27MM,"1,679",In Stock,,1,1,Bag,2057-HPH2-A-04-UA-ND,0.18000,$0.18,1
10,G800W305018EU,Amphenol ICC (Commercial Products),"PIN HEADER 2.54MM PITCH STR,1X3P","18,582",In Stock,,4,4,Bag,664-G800W305018EU-ND,0.10000,$0.40,1
11,M50-3530442,Harwin Inc.,CONN HEADER VERT 4POS 1.27MM,"13,595",In Stock,,2,2,Box,952-3600-ND,0.21000,$0.42,1
12,EB147A-04-D,Adam Tech,"EURO BLOCK, 4 POSITION","1,255",In Stock,,2,2,Box,2057-EB147A-04-D-ND,1.19000,$2.38,1
13,EB147A-02-D,Adam Tech,"EURO BLOCK, 2 POSITION","3,880",In Stock,,1,1,Box,2057-EB147A-02-D-ND,0.78000,$0.78,1
14,RMCF0603FT100R,Stackpole Electronics Inc,RES 100 OHM 1% 1/10W 0603,"1,691,589",In Stock,,4,4,Cut Tape (CT),RMCF0603FT100RCT-ND,0.10000,$0.40,1
15,RMCF0603FT5K10,Stackpole Electronics Inc,RES 5.1K OHM 1% 1/10W 0603,"1,137,263",In Stock,,4,4,Cut Tape (CT),RMCF0603FT5K10CT-ND,0.10000,$0.40,1
16,RMCF0603FT10K0,Stackpole Electronics Inc,RES 10K OHM 1% 1/10W 0603,"11,474,360",In Stock,,4,4,Cut Tape (CT),RMCF0603FT10K0CT-ND,0.10000,$0.40,1
17,RMCF0603FT4K02,Stackpole Electronics Inc,RES 4.02K OHM 1% 1/10W 0603,"67,438",In Stock,,1,1,Cut Tape (CT),RMCF0603FT4K02CT-ND,0.10000,$0.10,1
18,HPH2-A-08-UA,Adam Tech,CONN HEADER VERT 8POS 1.27MM,"3,032",In Stock,,1,1,Bag,2057-HPH2-A-08-UA-ND,0.36000,$0.36,1
19,DEV-20359,SparkFun Electronics,TEENSY 4.1 WITHOUT ETHERNET,947,In Stock,,1,1,Bulk,1568-DEV-20359-ND,31.08000,$31.08,1
20,BNO055,Bosch Sensortec,IMU ACCEL/GYRO/MAG I2C 28LGA,"13,291",In Stock,,1,1,Cut Tape (CT),828-1058-1-ND,12.32000,$12.32,1
21,LPS25HBTR,STMicroelectronics,SENSOR 18.27PSIA 24BIT 10LLGA,"10,694",In Stock,,1,1,Cut Tape (CT),497-15070-1-ND,6.37000,$6.37,1
22,AZ1117CH2-5.0TRG1,Diodes Incorporated,IC REG LINEAR 5V 1A SOT223,"19,907",In Stock,,1,1,Cut Tape (CT),31-AZ1117CH2-5.0TRG1CT-ND,0.35000,$0.35,1
23,W25Q128JVSIQ TR,Winbond Electronics,IC FLASH 128MBIT SPI/QUAD 8SOIC,"333,238",In Stock,,1,1,Cut Tape (CT),W25Q128JVSIQCT-ND,1.72000,$1.72,1
24,VN5E160STR-E,STMicroelectronics,IC PWR SWITCH N-CHANNEL 1:1 8SO,"25,523",In Stock,,4,4,Cut Tape (CT),497-18886-1-ND,1.83000,$7.32,1
